SOA2001,MDM_rank,Income_perc,Empl_perc,overall_imd_score,new_rank,agreement,2010_income_score
95NN04W1,115,14.3,34.6,39.32632968154041,114.0,False,49.0
95NN05W1,283,15.2,24.3,25.528369939938464,282.0,False,28.000000000000004
95NN06S1,235,11.3,28.3,28.38816357899454,235.0,True,35.0
95NN06S2,455,13.0,19.8,17.982153336073452,454.0,False,25.0
95NN07S1,352,11.6,25.2,22.06269720493547,352.0,True,26.0
95NN07S2,106,17.4,31.4,40.49175835557968,106.0,True,34.0
95NN08S1,669,10.7,15.1,10.422221737631642,669.0,True,16.0
95NN08S2,660,11.6,14.5,10.682658905815012,660.0,True,17.0
95NN09S1,716,10.6,9.8,8.547003169328189,716.0,True,9.0
95NN09S2,464,12.8,17.9,17.67638645432026,464.0,True,18.0
95NN10S1,442,10.3,26.8,18.55746190766231,442.0,True,25.0
95NN10S2,671,12.6,15.2,10.349528412098175,671.0,True,13.0
95NN11S1,364,13.0,22.4,21.55798337796348,363.0,False,22.0
95NN11S2,629,12.4,13.4,11.897654618395695,629.0,True,12.0
95NN12W1,321,15.9,21.0,23.789431232956495,321.0,True,26.0
95NN13W1,666,10.9,14.2,10.45385146779524,667.0,False,11.0
95NN14S1,217,15.9,24.6,29.045905195275697,217.0,True,25.0
95NN14S2,261,15.2,22.9,26.842902547415022,261.0,True,11.0
95NN15W1,381,13.9,20.0,21.0658144216879,380.0,False,26.0
95NN16S1,735,11.6,10.1,7.932081558191995,735.0,True,10.0
95NN16S2,693,11.1,12.9,9.496031400455704,693.0,True,10.0
95NN17W1,89,17.3,36.5,42.5963536901841,89.0,True,37.0
95NN18S1,186,13.3,33.7,32.38152927587174,186.0,True,28.000000000000004
95NN18S2,761,6.3,15.2,7.299985340258883,761.0,True,13.0
95NN19S1,771,8.9,15.9,6.921428799319348,771.0,True,12.0
95NN19S2,781,11.6,9.9,6.575460202604587,781.0,True,6.0
95NN20W1,429,13.2,17.3,18.83910268106833,430.0,False,15.0
95NN21W1,295,15.1,24.0,24.886091112123026,295.0,True,27.0
95NN22W1,474,11.4,16.8,17.321591546637244,475.0,False,19.0
95NN23S1,375,12.7,20.2,21.165451486073437,376.0,False,24.0
95NN23S2,372,15.8,20.1,21.272703562171287,372.0,True,28.000000000000004
95OO01W1,313,15.1,19.3,24.236505142371307,313.0,True,25.0
95OO02W1,479,14.0,13.4,17.13628187106189,480.0,False,15.0
95OO03W1,344,15.9,17.9,22.397071050438843,344.0,True,23.0
95OO04W1,232,17.3,22.6,28.53736915078429,232.0,True,27.0
95OO05W1,239,14.0,26.5,28.046896345502795,239.0,True,40.0
95OO06W1,494,14.3,14.6,16.5768369616876,494.0,True,18.0
95OO07W1,465,13.7,14.8,17.6293840496664,466.0,False,18.0
95OO08W1,625,11.4,15.4,12.050249902714844,625.0,True,18.0
95OO09W1,331,14.1,18.2,23.019252839232816,331.0,True,22.0
95OO10W1,329,13.0,26.1,23.037217360492097,329.0,True,42.0
95OO11W1,92,18.4,34.3,42.329662570139156,92.0,True,51.0
95OO12W1,360,12.9,23.2,21.80237184038832,360.0,True,32.0
95OO13W1,662,8.3,12.4,10.632316334585175,662.0,True,16.0
95OO14W1,425,15.7,16.1,18.975290837495702,425.0,True,22.0
95OO15W1,291,13.9,24.7,25.086051430843415,291.0,True,35.0
95OO16W1,431,13.3,16.7,18.820046807636498,431.0,True,19.0
95OO17W1,560,12.7,15.1,14.152584122022256,560.0,True,18.0
95OO18W1,624,9.7,15.3,12.074266284938824,624.0,True,17.0
95OO19W1,558,13.9,14.7,14.236315397484175,558.0,True,16.0
95OO20W1,586,11.8,15.7,13.154537094846003,586.0,True,19.0
95OO21W1,355,14.0,21.8,21.95860741164948,355.0,True,26.0
95OO22W1,476,13.3,18.2,17.290226660500267,476.0,True,32.0
95PP01W1,526,13.2,15.6,15.440458613595087,526.0,True,13.0
95PP02W1,238,17.0,16.7,28.084897597652247,238.0,True,22.0
95PP03W1,151,20.2,21.5,35.59887308234521,151.0,True,27.0
95PP04W1,399,15.2,14.3,20.27756412375548,399.0,True,16.0
95PP05W1,366,14.8,16.3,21.425266693236633,366.0,True,19.0
95PP06S1,357,12.2,23.3,21.929992761806204,357.0,True,27.0
95PP06S2,466,15.3,18.4,17.631833680761922,465.0,False,14.000000000000002
95PP07W1,436,14.3,17.1,18.758607716563706,435.0,False,19.0
95PP08W1,362,16.3,15.5,21.562304083703545,362.0,True,17.0
95PP09W1,44,20.6,39.4,52.93813464100797,43.0,False,46.0
95PP10W1,234,18.6,17.4,28.39086773066348,234.0,True,22.0
95PP11W1,216,14.0,28.9,29.32474120312337,216.0,True,31.0
95PP12W1,275,17.1,15.3,25.70892619639604,278.0,False,20.0
95PP13W1,143,18.4,29.2,35.8408144867737,143.0,True,39.0
95PP14S1,211,16.8,20.9,29.703216715620457,211.0,True,27.0
95PP14S2,392,15.5,16.8,20.59303853876753,392.0,True,18.0
95PP15W1,622,11.6,14.2,12.087309042545506,622.0,True,13.0
95PP16W1,413,15.1,14.4,19.629775388018334,413.0,True,11.0
95PP17W1,182,16.2,29.6,32.6426042613032,182.0,True,37.0
95PP18W1,394,15.6,17.0,20.42568575009089,394.0,True,17.0
95PP19W1,112,20.4,24.7,39.57380457000956,112.0,True,33.0
95PP20W1,214,17.2,22.5,29.412350804175873,214.0,True,27.0
95PP21W1,114,22.1,19.7,39.29013939358296,115.0,False,31.0
95PP22W1,409,13.2,22.5,19.752713351750412,409.0,True,22.0
95PP23W1,309,16.4,19.2,24.531592955459246,309.0,True,19.0
95QQ01W1,156,15.6,32.4,34.7001962029162,155.0,False,40.0
95QQ02W1,612,11.0,13.4,12.299009158937976,612.0,True,12.0
95QQ03W1,104,18.6,31.9,41.170724350050506,104.0,True,40.0
