Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_age_population,SIMD2020v2_Rank,SIMD2020v2_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,SIMD2020_Health_Domain_Rank,SIMD2020_Education_Domain_Rank,SIMD2020_Access_Domain_Rank,SIMD2020_Crime_Domain_Rank,SIMD2020_Housing_Domain_Rank
S01006598,Ferryhill South,Aberdeen City,1017,684,6810,6880,6455,6843,6444,3283,3870,5861.5
S01006599,Ferryhill South,Aberdeen City,812,621,2958,3137,2643,2894,2905,4082,2024,1919
S01006600,Ferryhill South,Aberdeen City,1238,862,6316,5644,6054,5122,5666,5801,4375,2801
S01006601,Ferryhill South,Aberdeen City,1038,801,5017,4767,3865,5046,4340,6166,3923,1929
S01006602,Ferryhill South,Aberdeen City,896,572,6840,5615,6479,6481,6608,5266,6677,6407
S01006603,"Kincorth, Leggart and Nigg North",Aberdeen City,803,502,1367,2116,1062,1475,1009,3364,1098,2099
S01006604,"Kincorth, Leggart and Nigg North",Aberdeen City,653,430,3121,2915,3244,2798,2419,4156,3854,2418
S01006605,"Kincorth, Leggart and Nigg North",Aberdeen City,781,480,1743,1566,2180,1381,1253,5966,1276,2105
S01006606,"Kincorth, Leggart and Nigg North",Aberdeen City,794,480,4154,4419,3586,3569,3619,3471,3734,3625
S01006607,"Kincorth, Leggart and Nigg North",Aberdeen City,919,616,3196,3288,3120,3424,1564,5821,4292,1663
S01006608,"Kincorth, Leggart and Nigg South",Aberdeen City,1653,1118,5522,5860,6263,6214,4902,965,3653,4827
S01006609,"Kincorth, Leggart and Nigg South",Aberdeen City,1054,684,3070,3219,3563,3138,1406,5070,2254.5,2227
S01006610,"Kincorth, Leggart and Nigg South",Aberdeen City,431,287,2413,2889,1746,2026,2239,5441,4338,2130
S01006611,"Kincorth, Leggart and Nigg South",Aberdeen City,906,609,2957,2979,2690.5,2393,3204,4710,2426,1946
S01006612,"Kincorth, Leggart and Nigg South",Aberdeen City,858,589,4528,4720,4218,4088,3489,3337,2921,4272
S01006613,Cove South,Aberdeen City,591,425,6733,6767,6615,6678,5837,3205,3842,5294
S01006614,Cove South,Aberdeen City,669,476,6443,5973,5994,6260,5211,3566,6266,6277
S01006615,Cove South,Aberdeen City,838,586,6252,5671.5,6342,6837,6179,1704,5958,6640
S01006616,Cove South,Aberdeen City,747,597,6374,6408,5775,5434,4960,4163,6081,4782
S01006617,Cove South,Aberdeen City,635,415,5492,6044,4822,4765,3763,4624,3533,4538
S01006618,Cove South,Aberdeen City,474,324,6688,6525.5,6781,5585,4415,4723,6322,5357
S01006619,Cove North,Aberdeen City,869,586,5487,6080,5100,4777,3996,2657,5501,4641
S01006620,Cove North,Aberdeen City,786,515,5059,4964,4983.5,4357,3094,4533,4579,3973
S01006621,Cove North,Aberdeen City,504,322,5523,5877.5,4741,4438,3562,5045,6375,4009.5
S01006622,Cove North,Aberdeen City,663,529,6069,5485.5,5293,5589,5119,5085,6255,3067
S01006623,Cove North,Aberdeen City,719,483,2241,3719.5,2330,2283,2064,3045,60,2155
S01006624,Torry West,Aberdeen City,771,611,2058,3093,2176,2825,491,6786,1381,160
S01006625,Torry West,Aberdeen City,621,441,3148,3051,3199,3366,2947,6754,567,1674
S01006626,Torry West,Aberdeen City,683,477,1300,1781,1222,1293,923,6458,374,684
S01006627,Torry West,Aberdeen City,818,681,1238,2123,1619,1840,84,6262,1592,84
S01006628,Torry West,Aberdeen City,1055,866,2163,2798,2219,3127,1396,6714,313,45
S01006629,Torry West,Aberdeen City,872,516,1081,1053,1570,1226,334,6681,1272,902
S01006630,Torry West,Aberdeen City,652,400,1425,1280,1755.5,1890,770,5006,1393,1174
S01006631,Torry East,Aberdeen City,1047,666,1207,1839,1865,1971,194,2542,550,795
S01006632,Torry East,Aberdeen City,826,569,1288,1480,1531,2111,397,5338,820,759
S01006633,Torry East,Aberdeen City,660,434,657,798,650,1231,621,5012,56,776
S01006634,Torry East,Aberdeen City,624,423,417,563,583,765,252,3094,100,1070
S01006635,Torry East,Aberdeen City,627,418,1480,1941,1910.5,2481,377,4594,736,731
