nation,lsoa,overall_local_score,income_score,employment_score,UK_IMD_W_score,original_decile,W_expanded_decile,UK_IMD_W_rank,UK_IMD_W_pop_decile,UK_IMD_W_pop_quintile
E,E01007488,32.02,11.899999999999999,9.9,32.551474386160024,3,3,9248.0,3,2
N,95AA05W1,12.29748624279605,12.0,16.1,32.54551375577664,7,3,9249.0,3,2
E,E01015788,32.409,20.1,13.5,32.54390317426419,3,3,9250.0,3,2
E,E01009264,32.155,15.0,11.200000000000001,32.54235015073199,3,3,9251.0,3,2
E,E01004235,32.56,26.200000000000003,14.899999999999999,32.54063443912369,3,3,9252.5,3,2
E,E01004932,32.56,17.4,14.899999999999999,32.54063443912369,3,3,9252.5,3,2
E,E01003538,32.047,18.9,10.299999999999999,32.53168964280137,3,3,9254.0,3,2
E,E01029810,32.64,19.8,15.7,32.531426448547705,3,3,9255.0,3,2
E,E01016422,32.552,20.3,14.899999999999999,32.53129244031098,3,3,9256.0,3,2
E,E01000059,32.331,17.599999999999998,12.9,32.52978966986757,3,3,9257.0,3,2
E,E01015415,32.572,21.5,15.1,32.52899044266699,3,3,9258.0,3,2
E,E01007351,32.462,16.3,14.099999999999998,32.52882293237108,3,3,9259.0,3,2
E,E01001862,32.679,22.400000000000002,16.1,32.52565470340813,3,3,9260.0,3,2
E,E01026992,32.676,20.0,16.1,32.52215145385336,3,3,9261.0,3,2
E,E01005480,32.566,18.3,15.1,32.52198394355745,3,3,9262.0,3,2
E,E01028014,32.96,19.8,18.7,32.52025148091957,3,3,9263.0,3,2
E,E01032730,32.036,14.7,10.299999999999999,32.51884439443389,3,3,9264.0,3,2
E,E01013681,32.211,21.4,11.899999999999999,32.51794466105576,3,3,9265.0,3,2
E,E01004060,31.991,17.9,9.9,32.51760964046393,3,3,9266.0,3,2
S,S01008563,34.594044519507435,19.0,16.0,32.51621567931728,2,3,9267.0,3,2
E,E01019914,32.824,21.7,17.5,32.515379469158106,3,3,9268.0,3,2
E,E01023323,32.402,17.8,13.700000000000001,32.510071930627284,3,3,9269.0,3,2
S,S01011327,39.1595211363919,20.0,24.0,32.50981841498017,2,3,9270.0,3,2
E,E01018710,32.607,22.0,15.6,32.50571920078316,3,3,9271.0,3,2
E,E01002776,32.142,20.4,11.4,32.50151240798556,3,3,9272.0,3,2
W,W01001271,32.5,22.0,16.0,32.5,3,3,9274.5,3,2
W,W01000929,32.5,25.0,16.0,32.5,3,3,9274.5,3,2
W,W01000287,32.5,20.0,13.0,32.5,3,3,9274.5,3,2
W,W01000990,32.5,23.0,18.0,32.5,3,3,9274.5,3,2
E,E01001053,32.404,21.099999999999998,13.8,32.49957893299257,3,3,9277.0,3,2
E,E01012708,32.225,16.5,12.2,32.495807666964346,3,3,9278.0,3,2
E,E01026459,32.785,19.3,17.299999999999997,32.49549421962191,3,3,9279.0,3,2
S,S01007999,34.00728435087945,18.0,15.0,32.49416980801939,2,3,9280.0,3,2
S,S01009298,35.72017222024877,20.0,18.0,32.49295625372602,2,3,9281.0,3,2
E,E01001791,32.227,20.4,12.3,32.485314669329625,3,3,9282.5,3,2
E,E01004260,32.227,24.2,12.3,32.485314669329625,3,3,9282.5,3,2
E,E01003309,32.138,24.7,11.5,32.48401291124131,3,3,9284.0,3,2
E,E01033623,32.489,14.499999999999998,14.7,32.48338119433664,3,3,9285.0,3,2
S,S01011276,33.99902156238757,21.0,15.0,32.48242729909106,2,3,9286.0,3,2
E,E01020658,32.762,19.8,17.2,32.481464470373254,3,3,9287.0,3,2
E,E01015060,32.474,16.8,14.6,32.478693443900696,3,3,9288.0,3,2
E,E01008930,32.371,20.9,13.700000000000001,32.473871685228026,3,3,9289.0,3,2
S,S01010011,33.989416636320136,24.0,15.0,32.468777436189,2,3,9290.0,3,2
E,E01012328,32.806,20.7,17.7,32.46870297715373,3,3,9291.0,3,2
E,E01015569,32.594,19.1,15.8,32.46488145803672,3,3,9292.0,3,2
E,E01029299,32.539,16.5,15.299999999999999,32.464797702888774,3,3,9293.0,3,2
N,95EE06W1,13.363867513568923,11.3,14.7,32.46264955904654,7,3,9294.0,3,2
E,E01002799,32.282,24.099999999999998,13.0,32.45974142980181,3,3,9295.0,3,2
E,E01011449,31.688,14.299999999999999,7.6,32.45883687420388,3,3,9296.0,3,2
E,E01001548,32.093,22.7,11.3,32.457121162595584,3,3,9297.0,3,2
S,S01010917,37.407645930823534,24.0,21.0,32.45562583805534,2,3,9298.0,3,2
N,95CC14W1,13.101626641500047,11.7,15.0,32.44387957032995,7,3,9299.0,3,2
S,S01008566,33.399038049576866,18.0,14.0,32.44158931696029,3,3,9300.0,3,2
E,E01024887,32.398,17.1,14.2,32.441258444531485,3,3,9301.0,3,2
E,E01000152,32.418,26.5,14.399999999999999,32.43895644688749,3,3,9302.0,3,2
E,E01010703,32.407,17.599999999999998,14.299999999999999,32.43893969585789,3,3,9303.0,3,2
E,E01026104,33.24,17.4,21.9,32.43670952455206,3,3,9304.0,3,2
E,E01003992,32.416,24.3,14.399999999999999,32.4366209471843,3,3,9305.0,3,2
E,E01007550,32.789,18.6,17.8,32.43602273233882,3,3,9306.0,3,2
E,E01008258,32.239,19.2,12.8,32.43518518085925,3,3,9307.0,3,2
E,E01000385,32.32,22.0,13.600000000000001,32.427144940134866,3,3,9308.0,3,2
E,E01005998,32.166,14.899999999999999,12.2,32.426910425720585,3,3,9309.0,3,2
E,E01027462,32.954,21.3,19.400000000000002,32.42344550044481,3,3,9310.0,3,2
S,S01013244,35.09874185303106,21.0,17.0,32.421639471417016,2,3,9311.0,3,2
E,E01007234,32.631,17.599999999999998,16.5,32.4182887211803,3,3,9312.0,3,2
E,E01009045,32.378,19.0,14.2,32.4179034474997,3,3,9313.0,3,2
S,S01009439,35.09600858326646,23.0,17.0,32.41775513568146,2,3,9314.0,3,2
E,E01013156,32.695,22.6,17.1,32.41605372765466,3,3,9315.0,3,2
E,E01011261,32.546,20.9,15.8,32.408829465160444,3,3,9316.0,3,2
E,E01017082,31.883,14.7,9.8,32.4043211538302,3,3,9317.0,3,2
E,E01011783,32.617,16.7,16.5,32.40194022325805,3,3,9318.0,3,2
E,E01005522,32.253,15.9,13.200000000000001,32.40021968942995,3,3,9319.0,3,2
E,E01005297,32.624,22.400000000000002,16.6,32.397285974881285,3,3,9320.0,3,2
N,95DD22S1,12.892816614434857,11.9,15.2,32.3945665592729,7,3,9321.0,3,2
E,E01010425,32.269,17.7,13.4,32.3932466923796,3,3,9322.0,3,2
E,E01004341,32.124,20.3,12.1,32.39069342929173,3,3,9323.0,3,2
E,E01014835,32.695,21.0,17.299999999999997,32.3903967329789,3,3,9324.0,3,2
E,E01033051,32.341,21.4,14.099999999999998,32.387525200328795,3,3,9325.0,3,2
E,E01008649,32.712,24.3,17.5,32.384591485780135,3,3,9326.0,3,2
E,E01013502,32.491,19.5,15.5,32.38308871533672,3,3,9327.0,3,2
E,E01004413,32.226,19.0,13.100000000000001,32.38151894077493,3,3,9328.0,3,2
S,S01011241,35.0699174075798,21.0,17.0,32.38067614427893,2,3,9329.0,3,2
E,E01013071,32.916,21.3,19.400000000000002,32.379071006084416,3,3,9330.0,3,2
E,E01001529,32.233,22.3,13.200000000000001,32.376864692398165,3,3,9331.0,3,2
S,S01006630,33.35083094418323,21.0,14.0,32.37308068140096,3,3,9332.0,3,2
S,S01008163,32.77736716834909,19.0,13.0,32.36993073261758,3,3,9333.0,3,2
E,E01004854,32.073,23.599999999999998,11.799999999999999,32.369623678874355,3,3,9334.0,3,2
N,95EE08W1,10.256216368258125,9.7,18.4,32.3683045121508,8,3,9335.0,3,2
E,E01006235,33.005,21.8,20.3,32.36754426683484,3,3,9336.0,3,2
S,S01009637,34.4870392558276,21.0,16.0,32.364147129411364,2,3,9337.0,3,2
E,E01006671,32.485,22.6,15.6,32.36325371888929,3,3,9338.0,3,2
S,S01010200,32.772181313096326,22.0,13.0,32.36256095041071,3,3,9339.0,3,2
N,95EE11W1,13.678205388232206,11.1,14.2,32.36102925200119,7,3,9340.0,3,2
E,E01002787,32.105,18.5,12.2,32.355677684773646,3,3,9341.0,3,2
E,E01004364,32.04,19.3,11.700000000000001,32.343916431109804,3,3,9342.0,3,2
E,E01005363,32.313,16.8,14.2,32.34199970714641,3,3,9343.0,3,2
S,S01012562,36.7560520091045,20.0,20.0,32.341442678567475,2,3,9344.0,3,2
E,E01005372,32.309,19.2,14.2,32.33732870774005,3,3,9345.0,3,2
N,95QQ14S2,13.900672002218387,12.3,13.9,32.336728008153045,7,3,9346.0,3,2
E,E01005761,32.205,19.1,13.3,32.33133919921578,3,3,9347.0,3,2
E,E01008594,32.378,20.0,14.899999999999999,32.32810396613448,3,3,9348.0,3,2
E,E01008924,32.098,16.400000000000002,12.4,32.32184644113675,3,3,9349.0,3,2
E,E01001246,32.021,20.0,11.700000000000001,32.32172918392961,3,3,9350.0,3,2
E,E01003229,32.515,24.0,16.2,32.321315230409624,3,3,9351.0,3,2
E,E01013394,32.522,23.5,16.3,32.316660982032865,3,3,9352.0,3,2
E,E01021823,32.433,21.6,15.5,32.31535922394455,3,3,9353.0,3,2
E,E01022840,32.452,17.299999999999997,15.7,32.311889476448954,3,3,9354.0,3,2
E,E01026663,32.319,21.7,14.499999999999998,32.31052071424228,3,3,9355.0,3,2
S,S01011590,32.735375028301846,18.0,13.0,32.31025438002678,3,3,9356.0,3,2
E,E01001492,32.044,21.2,12.0,32.31010193850249,3,3,9357.0,3,2
E,E01018734,32.274,16.7,14.099999999999998,32.30928596027233,3,3,9358.0,3,2
E,E01029333,32.491,19.1,16.1,32.30611773130938,3,3,9359.0,3,2
E,E01005102,32.183,16.900000000000002,13.3,32.30564870248083,3,3,9360.0,3,2
S,S01010444,33.87410674724357,20.0,15.0,32.30490692161179,2,3,9361.0,3,2
E,E01001744,32.017,20.0,11.799999999999999,32.30422968718537,3,3,9362.0,3,2
E,E01020746,32.61,14.6,17.2,32.303966492931714,3,3,9363.0,3,2
E,E01010835,32.016,23.0,11.799999999999999,32.30306193733377,3,3,9364.0,3,2
E,E01028127,32.838,22.400000000000002,19.3,32.300815014998356,3,3,9365.0,3,2
E,E01011920,31.541,11.600000000000001,7.5,32.300006143358175,3,3,9366.0,3,2
W,W01000478,32.3,25.0,15.0,32.3,3,3,9367.0,3,2
E,E01018066,32.561,21.5,16.8,32.298060739555396,3,3,9368.0,3,2
E,E01003298,32.141,22.2,13.0,32.295088700727746,3,3,9369.0,3,2
E,E01021846,32.173,19.400000000000002,13.3,32.29397120396494,3,3,9370.0,3,2
E,E01023107,32.367,19.8,15.1,32.289601723091224,3,3,9371.0,3,2
S,S01008595,34.43140992711343,21.0,16.0,32.28509053855884,2,3,9372.0,3,2
S,S01013360,35.57318065553992,17.0,18.0,32.28406191222375,2,3,9373.0,3,2
E,E01021821,32.296,19.400000000000002,14.499999999999998,32.283662467655724,3,3,9374.0,3,2
E,E01002797,32.118,20.7,12.9,32.281058951479096,3,3,9375.0,3,2
S,S01010339,34.99965747129425,23.0,17.0,32.28082753627593,2,3,9376.0,3,2
E,E01013471,32.114,17.599999999999998,12.9,32.27638795207273,3,3,9377.0,3,2
E,E01012588,31.993,20.9,11.799999999999999,32.276203690747224,3,3,9378.0,3,2
E,E01008533,32.498,23.0,16.400000000000002,32.27580648825684,3,3,9379.0,3,2
E,E01023343,32.143,21.5,13.200000000000001,32.271767205755154,3,3,9380.0,3,2
E,E01012253,32.504,19.2,16.5,32.269984490028484,3,3,9381.0,3,2
E,E01007793,32.589,17.7,17.299999999999997,32.26661524871045,3,3,9382.0,3,2
E,E01000335,31.73,16.0,9.5,32.26414091855074,3,3,9383.0,3,2
S,S01011366,32.130849996041405,19.0,12.0,32.26296230158952,3,3,9384.0,3,2
E,E01014159,32.662,18.7,18.0,32.26206150651123,3,3,9385.0,3,2
S,S01013162,34.41403814175962,20.0,16.0,32.26040294733964,2,3,9386.0,3,2
E,E01012326,32.352,18.099999999999998,15.2,32.25925697797948,3,3,9387.0,3,2
E,E01029387,32.758,21.3,18.9,32.25870901622279,3,3,9388.0,3,2
E,E01029568,32.043,15.4,12.4,32.25762019929935,3,3,9389.0,3,2
S,S01008167,33.839275422869754,23.0,15.0,32.25540702967491,2,3,9390.0,3,2
S,S01010589,33.83854193935046,19.0,15.0,32.254364653147604,2,3,9391.0,3,2
E,E01010789,32.376,16.2,15.5,32.24879748240397,3,3,9392.0,3,2
E,E01015702,32.079,23.3,12.8,32.248345204605,3,3,9393.0,3,2
S,S01012637,33.832810349469554,23.0,15.0,32.246219310275,2,3,9394.0,3,2
E,E01007557,31.329,6.9,6.0,32.244870634889615,3,3,9395.0,3,2
E,E01008804,32.724,22.6,18.7,32.24466251594454,3,3,9396.0,3,2
E,E01029096,32.206,16.900000000000002,14.000000000000002,32.242707467702154,3,3,9397.0,3,2
E,E01017326,32.237,19.2,14.299999999999999,32.24042222108775,3,3,9398.0,3,2
E,E01007451,32.335,18.7,15.2,32.23940523050248,3,3,9399.0,3,2
S,S01010282,33.82781395812846,22.0,15.0,32.23911878119938,2,3,9400.0,3,2
E,E01010669,32.157,23.3,13.600000000000001,32.23680171432584,3,3,9401.0,3,2
S,S01007828,36.67539691880842,22.0,20.0,32.2268211898475,2,3,9402.0,3,2
E,E01032562,32.456,23.799999999999997,16.400000000000002,32.22676099449011,3,3,9403.0,3,2
E,E01027124,32.308,20.599999999999998,15.1,32.22070448184747,3,3,9404.0,3,2
E,E01002548,32.004,21.9,12.4,32.21207795508737,3,3,9405.0,3,2
N,95MM15S2,11.66251629003088,12.1,16.5,32.211521230720955,8,3,9406.0,3,2
S,S01012505,34.948471144424765,20.0,17.0,32.20808503525895,2,3,9407.0,3,2
E,E01001754,31.459,17.7,7.5,32.20425065552787,3,3,9408.0,3,2
E,E01000308,31.832,20.4,10.9,32.20365244068238,3,3,9409.0,3,2
E,E01005139,32.161,18.5,13.900000000000002,32.20298722171854,3,3,9410.0,3,2
E,E01005479,31.972,15.4,12.2,32.200366954512305,3,3,9411.0,3,2
E,E01002493,31.917,20.1,11.700000000000001,32.20028319936435,3,3,9412.0,3,2
E,E01020699,32.587,20.4,17.8,32.20013726231783,3,3,9413.0,3,2
E,E01010320,32.54,22.1,17.4,32.19656700864469,3,3,9414.0,3,2
E,E01003920,32.296,23.7,15.2,32.1938629862905,3,3,9415.0,3,2
S,S01007745,36.079960153200105,23.0,19.0,32.192444733347145,2,3,9416.0,3,2
E,E01031896,32.411,20.8,16.3,32.187040748506476,3,3,9417.0,3,2
E,E01014624,32.256,18.2,14.899999999999999,32.185638484240606,3,3,9418.0,3,2
E,E01028019,32.474,20.200000000000003,16.900000000000002,32.18363800512926,3,3,9419.0,3,2
S,S01010303,34.3598389914424,24.0,16.0,32.18337882804461,2,3,9420.0,3,2
E,E01020294,32.341,19.5,15.7,32.182269242922565,3,3,9421.0,3,2
E,E01000737,32.209,22.1,14.499999999999998,32.18206823056748,3,3,9422.0,3,2
E,E01014501,32.114,16.1,13.700000000000001,32.17375997336963,3,3,9423.0,3,2
E,E01008569,32.474,20.3,17.0,32.17080950779137,3,3,9424.0,3,2
N,95MM16S2,11.704125129190327,11.3,16.4,32.16817625084203,8,3,9425.0,3,2
E,E01023058,32.252,22.0,15.0,32.16813898749637,3,3,9426.0,3,2
E,E01014344,32.2,18.3,14.6,32.15872998456529,3,3,9427.0,3,2
E,E01001109,32.11,20.200000000000003,13.8,32.15626047662538,3,3,9428.0,3,2
S,S01006731,35.48232250381926,18.0,18.0,32.154940531609874,2,3,9429.0,3,2
E,E01009015,31.911,18.6,12.0,32.15479120824115,3,3,9430.0,3,2
E,E01014005,32.327,20.200000000000003,15.8,32.153092247662435,3,3,9431.0,3,2
E,E01007368,32.357,20.4,16.1,32.14963925119644,3,3,9432.0,3,2
E,E01005872,31.925,14.2,12.2,32.14548271148762,3,3,9433.0,3,2
E,E01008986,31.779,13.8,10.9,32.14176169854816,3,3,9434.0,3,2
E,E01004696,32.394,25.3,16.5,32.141532006353685,3,3,9435.0,3,2
E,E01001508,31.854,22.400000000000002,11.600000000000001,32.139543456052124,3,3,9436.0,3,2
S,S01009905,30.328612264837957,19.0,9.0,32.13719795352415,3,3,9437.0,3,2
E,E01021871,32.291,20.1,15.6,32.13671024768101,3,3,9438.0,3,2
E,E01003097,32.154,20.0,14.399999999999999,32.13067048606797,3,3,9439.0,3,2
E,E01001982,32.02,18.4,13.200000000000001,32.1281339740097,3,3,9440.0,3,2
N,95SS19S1,12.564546061252026,11.1,15.3,32.127487814177805,7,3,9441.0,3,2
N,95JJ20S1,12.97139532751768,14.1,14.8,32.12604736854707,7,3,9442.0,3,2
E,E01018732,31.862,14.099999999999998,11.799999999999999,32.123228460189054,3,3,9443.0,3,2
E,E01004955,32.209,18.099999999999998,15.0,32.11792574387804,3,3,9444.0,3,2
E,E01027330,31.934,17.299999999999997,12.5,32.11750696813825,3,3,9445.0,3,2
E,E01009232,31.692,14.2,10.299999999999999,32.11713844548724,3,3,9446.0,3,2
S,S01009160,35.45474607196339,19.0,18.0,32.11575079589324,2,3,9447.0,3,2
E,E01007976,32.174,20.4,14.7,32.11553999108608,3,3,9448.0,3,2
S,S01012223,32.02599882073542,22.0,12.0,32.11395499450583,3,3,9449.0,3,2
E,E01001833,31.832,20.3,11.600000000000001,32.113852959317164,3,3,9450.0,3,2
E,E01033601,32.17,23.400000000000002,14.7,32.11086899167972,3,3,9451.0,3,2
E,E01025267,32.201,15.6,15.0,32.108583745065324,3,3,9452.0,3,2
E,E01015899,32.188,18.9,14.899999999999999,32.106231494332555,3,3,9453.0,3,2
E,E01000100,31.83,16.0,11.700000000000001,32.09868896227609,3,3,9454.0,3,2
S,S01009522,32.01465508678689,18.0,12.0,32.09783405696735,3,3,9455.0,3,2
E,E01022457,32.312,18.3,16.1,32.097090507874924,3,3,9456.0,3,2
E,E01003132,32.169,21.9,14.799999999999999,32.09687274449025,3,3,9457.0,3,2
E,E01004584,32.114,27.3,14.299999999999999,32.096788989342286,3,3,9458.0,3,2
E,E01006246,32.663,18.3,19.3,32.09645879097026,3,3,9459.0,3,2
E,E01016454,31.9,16.1,12.4,32.09063197052211,3,3,9460.0,3,2
E,E01001602,32.404,20.9,17.0,32.08906701818014,3,3,9461.0,3,2
S,S01011179,33.71997620467132,21.0,15.0,32.085867153855105,3,3,9462.0,3,2
E,E01002568,31.74,21.099999999999998,11.0,32.0833909569983,3,3,9463.0,3,2
E,E01004211,31.539,16.400000000000002,9.2,32.079586188910895,3,3,9464.0,3,2
E,E01003302,31.65,20.9,10.299999999999999,32.0680929517205,3,3,9465.0,3,2
E,E01000935,32.327,27.700000000000003,16.5,32.06329276629722,3,3,9466.0,3,2
S,S01011447,33.13014966328229,18.0,14.0,32.0594635636637,3,3,9467.0,3,2
S,S01010166,32.55589799239636,19.0,13.0,32.055193912410715,3,3,9468.0,3,2
E,E01002697,31.847,21.6,12.2,32.05439822306367,3,3,9469.0,3,2
E,E01016741,31.975,20.0,13.4,32.04992823601241,3,3,9470.0,3,2
S,S01007482,34.83690077057251,21.0,17.0,32.04952886352765,2,3,9471.0,3,2
E,E01016042,32.062,17.4,14.2,32.048894494397544,3,3,9472.0,3,2
E,E01025223,31.861,15.4,12.4,32.04508972631014,3,3,9473.0,3,2
E,E01013184,31.979,17.4,13.5,32.04177073808088,3,3,9474.0,3,2
S,S01009605,36.53947480710608,21.0,20.0,32.033657996599665,2,3,9475.0,3,2
S,S01007454,31.39558632794609,16.0,11.0,32.02987343069192,3,3,9476.0,3,2
E,E01001843,32.022,18.2,14.000000000000002,32.02784149500975,3,3,9477.0,3,2
E,E01017075,31.648,15.7,10.6,32.02727196000366,3,3,9478.0,3,2
E,E01019081,32.327,19.2,16.8,32.024807274283546,3,3,9479.0,3,2
E,E01029716,32.227,22.1,15.9,32.02348876516563,3,3,9480.0,3,2
E,E01008192,32.534,21.4,18.7,32.02279004414261,3,3,9481.0,3,2
E,E01026617,32.346,20.0,17.0,32.02133752678797,3,3,9482.0,3,2
E,E01000058,31.763,19.900000000000002,11.700000000000001,32.02044972221963,3,3,9483.0,3,2
E,E01019468,32.103,16.6,14.799999999999999,32.019801254285376,3,3,9484.0,3,2
E,E01001423,31.815,20.8,12.2,32.01703022781282,3,3,9485.0,3,2
E,E01011249,31.99,18.099999999999998,13.8,32.016130494434684,3,3,9486.0,3,2
E,E01001757,31.873,24.9,12.8,32.007788735177655,3,3,9487.0,3,2
E,E01001267,31.849,22.2,12.6,32.005419733415295,3,3,9488.0,3,2
E,E01020616,32.307,20.200000000000003,16.8,32.00145227725177,3,3,9489.0,3,2
E,E01017501,32.186,16.8,15.7,32.00126801592626,3,3,9490.0,3,2
W,W01001140,32.0,22.0,17.0,32.0,3,3,9491.0,3,2
E,E01021062,32.523,20.8,18.8,31.99711629843724,3,3,9492.0,3,2
E,E01003570,31.336,16.400000000000002,8.0,31.996474937092966,3,3,9493.0,3,2
E,E01004384,32.114,19.7,15.1,31.994161010639182,3,3,9494.0,3,2
E,E01007230,32.245,15.4,16.3,31.993194273142684,3,3,9495.0,3,2
E,E01020674,32.113,22.3,15.1,31.992993260787596,3,3,9496.0,3,2
E,E01014841,31.827,14.2,12.5,31.99255773401822,3,3,9497.0,3,2
E,E01003522,31.365,18.3,8.3,31.99185419077538,3,3,9498.0,3,2
E,E01032461,32.033,18.5,14.399999999999999,31.98937275402569,3,3,9499.0,3,2
S,S01011440,32.50869557083919,14.0,13.0,31.988113064689763,3,3,9500.0,3,2
E,E01008109,31.592,19.5,10.4,31.98753496299044,3,3,9501.0,3,2
E,E01006014,31.995,20.200000000000003,14.099999999999998,31.98348375167897,3,3,9502.0,3,2
S,S01010450,34.218200317231926,21.0,16.0,31.98209164779684,2,3,9503.0,3,2
E,E01028912,32.14,22.0,15.5,31.973208517428947,3,3,9504.0,3,2
E,E01005536,32.041,20.0,14.6,31.97305775816262,3,3,9505.0,3,2
E,E01010085,31.931,16.3,13.600000000000001,31.97289024786671,3,3,9506.0,3,2
E,E01000523,31.722,18.099999999999998,11.700000000000001,31.972571978304476,3,3,9507.0,3,2
E,E01018557,32.392,20.200000000000003,17.8,31.972426041257958,3,3,9508.0,3,2
S,S01010577,32.4968421344955,19.0,13.0,31.971267773026547,3,3,9509.0,3,2
E,E01024310,32.146,16.900000000000002,15.6,31.967386519200595,3,3,9510.0,3,2
E,E01024634,32.123,21.3,15.4,31.966185267289813,3,3,9511.0,3,2
E,E01004679,32.133,25.2,15.5,31.965034268467825,3,3,9512.0,3,2
E,E01019647,32.122,17.7,15.4,31.965017517438227,3,3,9513.0,3,2
S,S01011316,32.49001380411407,19.0,13.0,31.961563817691328,3,3,9514.0,3,2
E,E01021851,31.918,19.3,13.600000000000001,31.957709499796053,3,3,9515.0,3,2
E,E01012741,31.785,13.8,12.4,31.956340737589368,3,3,9516.0,3,2
S,S01011561,31.914344595509693,17.0,12.0,31.95527965894714,3,3,9517.0,3,2
E,E01006855,32.87,19.3,22.3,31.953328090112535,3,3,9518.0,3,2
E,E01001043,31.45,16.6,9.4,31.94999945744368,3,3,9519.0,3,2
E,E01018497,31.46,12.7,9.5,31.948848458621683,3,3,9520.0,3,2
E,E01029765,32.174,19.900000000000002,16.0,31.948769525693532,3,3,9521.0,3,2
E,E01030114,31.894,19.2,13.5,31.942512000695803,3,3,9522.0,3,2
E,E01002068,31.663,18.5,11.4,31.942160229074382,3,3,9523.0,3,2
E,E01010048,31.443,19.3,9.4,31.941825208482562,3,3,9524.0,3,2
E,E01007971,32.107,18.5,15.5,31.934672772326508,3,3,9525.0,3,2
S,S01008326,34.18466633159627,24.0,16.0,31.934435444795106,2,3,9526.0,3,2
E,E01000007,31.576,20.7,10.7,31.93036547335135,3,3,9527.0,3,2
S,S01006635,32.46626495895907,17.0,13.0,31.927813585969396,3,3,9528.0,3,2
E,E01003321,32.198,18.3,16.400000000000002,31.92548153278012,3,3,9529.0,3,2
E,E01000992,32.164,18.4,16.1,31.924263529839745,3,3,9530.0,3,2
E,E01008567,32.109,19.8,15.6,31.924179774691797,3,3,9531.0,3,2
E,E01026721,31.954,17.5,14.2,31.922777510425924,3,3,9532.0,3,2
E,E01017078,31.514,15.7,10.2,31.92210746924227,3,3,9533.0,3,2
E,E01024501,31.82,21.7,13.0,31.920240998367653,3,3,9534.0,3,2
E,E01008158,32.269,19.5,17.1,31.91859229087771,3,3,9535.0,3,2
S,S01012810,36.457271658853365,21.0,20.0,31.9168365139678,2,3,9536.0,3,2
E,E01012035,32.398,22.2,18.3,31.91529005367805,3,3,9537.0,3,2
S,S01010195,33.599172899190194,23.0,15.0,31.914189772232824,3,3,9538.0,3,2
S,S01009411,33.02633883525477,18.0,14.0,31.9119347268589,3,3,9539.0,3,2
W,W01001946,31.9,25.0,13.0,31.9,3,3,9541.0,3,2
W,W01001869,31.9,21.0,11.0,31.9,3,3,9541.0,3,2
W,W01001231,31.9,22.0,14.0,31.9,3,3,9541.0,3,2
E,E01004720,32.043,23.0,15.2,31.89842227383846,3,3,9543.0,3,2
E,E01000184,31.921,21.2,14.099999999999998,31.897070262661376,3,3,9544.0,3,2
E,E01033705,31.723,19.900000000000002,12.3,31.896768744128728,3,3,9545.0,3,2
E,E01016499,31.73,19.3,12.4,31.89211449575197,3,3,9546.0,3,2
E,E01008561,32.411,21.0,18.6,31.89198530973505,3,3,9547.0,3,2
E,E01010050,31.882,20.599999999999998,13.8,31.890013510463067,3,3,9548.0,3,2
E,E01018423,32.482,18.5,19.3,31.88509606783264,3,3,9549.0,3,2
E,E01032574,31.481,17.9,10.2,31.883571724139834,3,3,9550.0,3,2
E,E01001316,31.82,22.1,13.3,31.88175550635399,3,3,9551.0,3,2
E,E01029782,32.424,19.2,18.8,31.88150906312992,3,3,9552.0,3,2
N,95FF16W1,10.291273100321128,11.0,17.8,31.875849977197504,8,3,9553.0,3,2
S,S01010018,33.5714796471836,23.0,15.0,31.874834019721227,3,3,9554.0,3,2
E,E01011940,31.978,16.3,14.799999999999999,31.873832522836736,3,3,9555.0,3,2
E,E01006654,31.919,16.400000000000002,14.299999999999999,31.86907776828242,3,3,9556.0,3,2
E,E01005273,31.094,11.5,6.800000000000001,31.867821441063075,3,3,9557.0,3,2
E,E01017601,31.828,20.7,13.5,31.865440510490924,3,3,9558.0,3,2
E,E01011541,31.608,16.3,11.5,31.865105489899097,3,3,9559.0,3,2
E,E01032830,31.827,17.4,13.5,31.864272760639338,3,3,9560.0,3,2
E,E01015032,31.42,10.7,9.8,31.86365297254446,3,3,9561.0,3,2
E,E01023091,31.771,19.900000000000002,13.0,31.863021255639786,3,3,9562.0,3,2
E,E01003624,31.648,19.5,11.899999999999999,31.860501494611103,3,3,9563.0,3,2
E,E01005975,31.899,19.3,14.2,31.858551268588524,3,3,9564.0,3,2
E,E01030608,31.854,19.8,13.8,31.85731651461857,3,3,9565.0,3,2
E,E01007538,32.116,16.1,16.2,31.85538303962558,3,3,9566.0,3,2
E,E01006743,31.969,19.400000000000002,14.899999999999999,31.850494276834542,3,3,9567.0,3,2
E,E01001621,31.869,18.8,14.000000000000002,31.849175767716627,3,3,9568.0,3,2
E,E01011488,31.393,18.0,9.700000000000001,31.84495222388944,3,3,9569.0,3,2
N,95LL01S1,11.1593902931082,10.2,16.7,31.843495760995467,8,3,9570.0,3,2
E,E01003988,31.655,18.9,12.1,31.84301874889645,3,3,9571.0,3,2
E,E01033341,31.554,18.2,11.200000000000001,31.84053248992695,3,3,9572.0,3,2
E,E01003523,31.507,18.3,10.8,31.836962236253818,3,3,9573.0,3,2
E,E01022054,32.263,16.1,17.7,31.834614807740856,3,3,9574.0,3,2
E,E01011225,31.472,18.5,10.5,31.834576483461866,3,3,9575.0,3,2
