nation,lsoa,overall_local_score,income_score,employment_score,UK_IMD_S_score,original_decile,S_expanded_decile,UK_IMD_S_rank,UK_IMD_S_pop_decile,UK_IMD_S_pop_quintile
E,E01017055,21.317,9.2,6.9,20.59206017611469,5,5.0,19104.0,5,3
S,S01006746,20.588705327646725,14.0,10.0,20.588705327646725,5,5.0,19105.0,5,3
E,E01018741,19.013,9.5,11.700000000000001,20.587715348604235,5,5.0,19106.0,5,3
E,E01032798,20.205,12.3,7.7,20.585530594956758,5,5.0,19107.0,5,3
N,95WW19S1,6.669839714111991,9.6,14.9,20.585512580762373,9,5.0,19108.0,5,3
S,S01008792,20.585029573255717,12.0,11.0,20.585029573255717,5,5.0,19109.0,5,3
E,E01002186,18.625,12.3,11.1,20.583849324044365,5,5.0,19110.0,5,3
W,W01000004,15.5,12.0,9.0,20.58290835425666,6,5.0,19111.0,5,3
E,E01029301,18.627,11.5,11.5,20.582794155542253,5,5.0,19112.0,5,3
E,E01016771,18.964,14.000000000000002,9.5,20.582367355476908,5,5.0,19113.0,5,3
E,E01010581,20.228,10.2,8.7,20.578530735661246,5,5.0,19114.0,5,3
E,E01016615,18.704,13.5,10.299999999999999,20.577044255748774,5,5.0,19115.0,5,3
W,W01000007,16.4,11.0,8.0,20.57558904576195,6,5.0,19116.0,5,3
S,S01007068,20.574927651437605,13.0,10.0,20.574927651437605,5,5.0,19117.0,5,3
E,E01008024,19.172,11.899999999999999,10.100000000000001,20.574880879909507,5,5.0,19118.0,5,3
E,E01027851,19.782,10.299999999999999,9.6,20.57487346252982,5,5.0,19119.0,5,3
E,E01003040,21.291,9.2,6.9,20.571892810806748,5,5.0,19120.0,5,3
S,S01012528,20.57139608668569,12.0,8.0,20.57139608668569,5,5.0,19121.0,5,3
E,E01006212,19.872,9.700000000000001,9.700000000000001,20.570736106431454,5,5.0,19122.0,5,3
E,E01000940,19.688,14.399999999999999,7.7,20.56931345619352,5,5.0,19123.0,5,3
E,E01014573,20.938,9.3,7.6,20.568380063487606,5,5.0,19124.0,5,3
E,E01033273,22.959,8.0,3.9,20.56593051160657,4,5.0,19125.0,5,3
E,E01021388,18.645,12.9,10.7,20.565321265915617,5,5.0,19126.0,5,3
E,E01017124,21.419,9.6,6.4,20.564492670863412,5,5.0,19127.0,5,3
E,E01010167,21.014,11.3,6.4,20.56185449579767,5,5.0,19128.0,5,3
E,E01020629,17.394,15.6,12.0,20.55765947783997,6,5.0,19129.0,5,3
E,E01013249,18.189,12.6,11.799999999999999,20.55260406167208,5,5.0,19130.0,5,3
E,E01031037,19.771,11.600000000000001,8.9,20.552578538008596,5,5.0,19131.0,5,3
E,E01024228,19.348,12.8,9.2,20.552347422761795,5,5.0,19132.0,5,3
E,E01004056,19.671,13.0,8.4,20.551565719437402,5,5.0,19133.0,5,3
E,E01018213,20.26,10.5,8.4,20.550335106039764,5,5.0,19134.0,5,3
E,E01021874,19.136,12.5,9.8,20.548911713858253,5,5.0,19135.0,5,3
E,E01008622,18.305,11.1,12.3,20.547703606410128,5,5.0,19136.0,5,3
E,E01000802,19.757,13.4,8.0,20.547583822121993,5,5.0,19137.0,5,3
S,S01007174,20.546318245358496,11.0,6.0,20.546318245358496,5,5.0,19138.0,5,3
E,E01026943,22.313,6.5,6.0,20.54591182771007,4,5.0,19139.0,5,3
E,E01018382,18.801,13.700000000000001,9.9,20.54494678494144,5,5.0,19140.0,5,3
E,E01010023,21.093,9.3,7.199999999999999,20.54462341032194,5,5.0,19141.0,5,3
E,E01032862,19.07,15.7,8.3,20.544139944151294,5,5.0,19142.0,5,3
S,S01008327,20.543988256549767,13.0,11.0,20.543988256549767,5,5.0,19143.0,5,3
E,E01017440,18.544,13.8,10.4,20.543905567123968,5,5.0,19144.0,5,3
S,S01010715,20.54389866225949,13.0,8.0,20.54389866225949,5,5.0,19145.0,5,3
W,W01001674,15.1,14.0,9.0,20.541768389661136,6,5.0,19146.0,5,3
E,E01001185,19.985,12.4,8.0,20.541196500749844,5,5.0,19147.0,5,3
E,E01029231,19.5,11.5,9.5,20.54002634356692,5,5.0,19148.0,5,3
S,S01009690,20.538774452909664,14.0,12.0,20.538774452909664,5,5.0,19149.0,5,3
E,E01013317,20.199,10.100000000000001,8.7,20.53771240648744,5,5.0,19150.0,5,3
E,E01023830,19.128,10.9,10.6,20.53749336209651,5,5.0,19151.0,5,3
E,E01011197,20.385,9.9,8.4,20.53734983203826,5,5.0,19152.0,5,3
E,E01006595,19.545,10.5,9.9,20.535676974259584,5,5.0,19153.0,5,3
E,E01021133,19.353,11.700000000000001,9.700000000000001,20.534643671698817,5,5.0,19154.0,5,3
S,S01009153,20.53258629445099,9.0,10.0,20.53258629445099,5,5.0,19155.0,5,3
E,E01032391,19.211,11.700000000000001,10.0,20.532487713239234,5,5.0,19156.0,5,3
E,E01015763,19.974,11.4,8.5,20.529406023519996,5,5.0,19157.0,5,3
E,E01010651,21.218,7.9,7.6,20.529031632025394,5,5.0,19158.0,5,3
S,S01012277,20.527540947246376,12.0,9.0,20.527540947246376,5,5.0,19159.0,5,3
E,E01006004,20.281,9.5,8.799999999999999,20.527369707217396,5,5.0,19160.0,5,3
E,E01015519,18.423,14.399999999999999,10.299999999999999,20.523997218432097,5,5.0,19161.0,5,3
E,E01026789,21.557,8.4,6.6000000000000005,20.52363990701538,4,5.0,19162.0,5,3
N,95LL16S1,6.639753759519892,9.3,11.6,20.523434106140254,9,5.0,19163.0,5,3
E,E01033364,21.267,11.0,5.8999999999999995,20.52314512167634,5,5.0,19164.0,5,3
E,E01031442,19.877,10.4,9.2,20.52290069575308,5,5.0,19165.0,5,3
E,E01004668,18.423,14.000000000000002,10.5,20.522693966284578,5,5.0,19166.0,5,3
E,E01020815,19.104,11.700000000000001,10.2,20.521483836876524,5,5.0,19167.0,5,3
E,E01003494,21.333,11.3,5.6000000000000005,20.521322200534467,5,5.0,19168.0,5,3
E,E01019520,19.684,11.200000000000001,9.2,20.519788473148335,5,5.0,19169.0,5,3
E,E01019392,18.618,10.8,11.700000000000001,20.51953801179714,5,5.0,19170.0,5,3
E,E01018016,18.96,11.700000000000001,10.5,20.517776542624027,5,5.0,19171.0,5,3
S,S01010563,20.51775136480798,15.0,9.0,20.51775136480798,5,5.0,19172.0,5,3
E,E01026407,19.43,9.9,10.4,20.51651287650392,5,5.0,19173.0,5,3
E,E01011819,20.596,8.5,8.6,20.51647290427878,5,5.0,19174.0,5,3
E,E01002987,18.608,12.2,11.0,20.516342715348863,5,5.0,19175.0,5,3
W,W01000574,17.4,9.0,7.0,20.51617247291892,6,5.0,19176.0,5,3
S,S01010800,20.51265095686087,11.0,10.0,20.51265095686087,5,5.0,19177.0,5,3
S,S01008728,20.512162471105437,14.0,10.0,20.512162471105437,5,5.0,19178.0,5,3
E,E01026970,19.413,12.3,9.2,20.51114603514922,5,5.0,19179.0,5,3
E,E01029314,18.273,13.0,11.3,20.511074534284536,5,5.0,19180.0,5,3
E,E01022014,19.137,11.5,10.2,20.510432957106705,5,5.0,19181.0,5,3
E,E01010339,19.054,14.399999999999999,8.9,20.509495541188905,5,5.0,19182.0,5,3
S,S01012806,20.50886326502845,11.0,9.0,20.50886326502845,5,5.0,19183.0,5,3
E,E01014099,21.14,8.9,7.199999999999999,20.507783960749578,5,5.0,19184.0,5,3
E,E01000593,19.632,14.299999999999999,7.7,20.507552093815317,5,5.0,19185.0,5,3
E,E01020485,18.801,12.7,10.299999999999999,20.505692360293434,5,5.0,19186.0,5,3
E,E01002167,20.304,13.600000000000001,6.6000000000000005,20.504573961929196,5,5.0,19187.0,5,3
E,E01014540,22.838,6.800000000000001,4.6,20.504161233971658,4,5.0,19188.0,5,3
E,E01005507,19.825,11.5,8.7,20.504148055682474,5,5.0,19189.0,5,3
E,E01028980,21.276,8.1,7.3,20.502679407535364,5,5.0,19190.0,5,3
N,95XX08S1,6.78080836236778,10.2,12.1,20.50264572743051,9,5.0,19191.0,5,3
E,E01010351,19.266,11.3,10.0,20.50185360683855,5,5.0,19192.0,5,3
E,E01004388,19.354,11.899999999999999,9.5,20.500074671389815,5,5.0,19193.0,5,3
E,E01022270,21.179,8.1,7.5,20.49943221013724,5,5.0,19194.0,5,3
E,E01018976,19.77,11.700000000000001,8.7,20.49813424173019,5,5.0,19195.0,5,3
E,E01001615,20.234,11.700000000000001,7.7,20.49808120289516,5,5.0,19196.0,5,3
E,E01030272,19.106,9.4,11.3,20.49754332568161,5,5.0,19197.0,5,3
S,S01010408,20.496751370635227,12.0,15.0,20.496751370635227,5,5.0,19198.0,5,3
E,E01008982,20.68,10.0,7.6,20.496525467436513,5,5.0,19199.0,5,3
E,E01023861,20.187,11.1,8.1,20.49566622781951,5,5.0,19200.0,5,3
E,E01013509,19.938,9.2,9.6,20.49431409243612,5,5.0,19201.0,5,3
E,E01012323,20.23,11.1,8.0,20.493023653088045,5,5.0,19202.0,5,3
E,E01029073,18.129,14.099999999999998,11.0,20.492953036298104,5,5.0,19203.0,5,3
E,E01021562,19.245,13.3,9.0,20.492080841750496,5,5.0,19204.0,5,3
E,E01026585,18.601,11.899999999999999,11.1,20.4919374538234,5,5.0,19205.0,5,3
E,E01004177,18.938,14.000000000000002,9.3,20.49020740161054,5,5.0,19206.0,5,3
